iter	Passed	Remaining
407	5817	4163
408	5831	4148
409	5844	4134
410	5858	4119
411	5872	4105
412	5886	4090
413	5901	4076
414	5915	4062
415	5929	4048
416	5943	4033
417	5956	4018
418	5972	4005
419	5986	3990
420	6000	3976
421	6014	3961
422	6028	3947
423	6042	3933
424	6056	3918
425	6070	3904
426	6085	3890
427	6099	3876
428	6113	3862
429	6128	3847
430	6145	3835
431	6159	3820
432	6173	3806
433	6186	3792
434	6201	3777
435	6215	3763
436	6230	3749
437	6243	3734
438	6257	3720
439	6271	3706
440	6285	3691
441	6299	3677
442	6315	3663
443	6330	3649
444	6344	3635
445	6358	3621
446	6372	3607
447	6387	3592
448	6401	3578
449	6415	3564
450	6429	3549
451	6443	3535
452	6457	3521
453	6472	3506
454	6486	3492
455	6501	3478
456	6515	3464
457	6529	3450
458	6544	3436
459	6559	3422
460	6573	3408
461	6587	3393
462	6602	3379
463	6616	3365
464	6631	3351
465	6644	3336
466	6659	3322
467	6674	3308
468	6688	3294
469	6702	3279
470	6716	3265
471	6730	3251
472	6744	3236
473	6761	3223
474	6776	3210
475	6790	3195
476	6804	3181
477	6818	3166
478	6832	3152
479	6846	3137
480	6860	3123
481	6874	3109
482	6889	3095
483	6903	3081
484	6918	3067
485	6932	3052
486	6946	3038
487	6961	3024
488	6975	3010
489	6989	2995
490	7003	2981
491	7018	2966
492	7032	2952
493	7046	2938
494	7060	2923
495	7074	2909
496	7088	2895
497	7103	2881
498	7116	2866
499	7130	2852
500	7144	2837
501	7157	2823
502	7171	2808
503	7185	2794
504	7199	2780
505	7213	2765
506	7227	2751
507	7241	2736
508	7255	2722
509	7269	2708
510	7283	2693
511	7297	2679
512	7311	2665
513	7325	2650
514	7341	2637
515	7355	2622
516	7374	2610
517	7388	2595
518	7401	2581
519	7416	2567
520	7430	2552
521	7444	2538
522	7459	2524
523	7472	2509
524	7487	2495
525	7501	2481
526	7515	2467
527	7529	2452
528	7543	2438
529	7557	2424
530	7572	2409
531	7585	2395
532	7599	2381
533	7614	2366
